date,BATI AKDENİZ YTM,BATI ANADOLU YTM,DOĞU AKDENİZ YTM,DOĞU ANADOLU YTM,GÜNEY DOĞU ANADOLU YTM,KUZEY BATI ANADOLU YTM,ORTA ANADOLU YTM,ORTA KARADENİZ YTM,TRAKYA YTM
2017-06-07,2370.62,5185.12,3043.13,1087.42,4501.52,7946.58,3504.67,1789.43,5745.57
2017-06-08,2426.82,5374.29,2982.08,1096.04,4662.03,7917.83,3649.86,1771.67,5773.69
2017-06-09,2379.77,5125.03,3259.44,1022.7,4818.86,7441.41,3563.82,1720.37,5450.5
2017-06-10,2344.27,4857.3,2999.71,1038.17,4502.86,7038.04,3384.48,1613.64,4874.95
2017-06-11,2192.71,4360.31,2709.15,1044.86,4306.63,5823.7,3250.53,1582.33,3717.85
2017-06-12,2464.7,5245.38,3087.53,1063.91,4681.21,7680.57,3709.7,1697.4,5548.99
2017-06-13,2469.97,5197.98,3194.42,1018.41,4859.1,7670.94,3813.69,1620.7,5641.12
2017-06-14,2428.94,5362.9,3050.13,1029.15,4451.39,7836.77,3760.33,1652.62,5786.02
2017-06-15,2514.38,5432.49,3099.23,1039.93,4713.97,7889.15,3796.87,1625.52,5590.15
2017-06-16,2561.61,5393.51,3056.4,1063.86,4759.51,7835.81,3749.14,1618.45,5713.86
2017-06-17,2489.86,5057.47,3000.01,1055.02,4733.62,7378.0,3576.28,1630.27,4981.27
2017-06-18,2224.35,4553.55,2798.22,1005.6,4659.81,6056.18,3391.85,1639.16,3798.97
2017-06-19,2445.02,4972.59,3109.61,1046.96,4822.4,7632.51,3900.44,1675.26,5404.78
2017-06-20,2489.04,4979.0,3012.39,1061.4,4819.79,7712.26,3716.28,1692.41,5596.47
2017-06-21,2451.6,5114.65,3007.01,1022.34,4869.46,7769.58,3748.5,1673.86,5630.48
2017-06-22,2487.53,5517.72,2994.87,1054.71,4846.94,8010.01,3737.89,1733.76,5765.38
2017-06-23,2505.57,5415.69,2990.55,1009.7,4751.61,7816.94,3638.07,1642.25,5658.99
2017-06-24,2203.78,4609.95,2643.74,1103.36,4395.99,5668.32,3213.73,1662.56,3847.28
2017-06-25,2118.75,4465.9,2319.08,930.53,3768.22,4564.86,2779.85,1483.45,2876.77
2017-06-26,2260.53,4494.12,2533.28,857.93,4080.37,4741.2,3118.26,1513.27,3011.93
2017-06-27,2363.47,4997.92,2646.27,903.49,4550.46,5238.54,3456.38,1623.82,3382.79
2017-06-28,2906.77,6151.46,3405.8,1001.84,5370.52,7870.19,4226.3,1805.34,5601.53
2017-06-29,3046.91,6691.65,3508.05,1019.62,5693.5,8356.83,4358.37,1932.63,5954.61
2017-06-30,3271.77,6729.58,3572.6,975.06,5623.37,8649.08,4422.88,1928.51,6127.37
2017-07-01,3273.52,6330.54,3529.24,994.95,5773.57,7987.31,4328.3,1919.31,5499.3
2017-07-02,3081.98,6087.2,3294.72,998.78,5836.37,6639.95,4250.09,1782.58,4355.24
2017-07-03,3418.21,6843.86,3931.32,1030.44,6425.06,9003.99,4891.55,2002.93,6603.33
2017-07-04,3417.28,6108.27,3865.57,1036.02,6264.54,8272.07,4936.71,1987.56,5889.4
2017-07-05,3388.34,6273.55,3787.42,997.08,6544.11,8260.24,4864.18,1957.84,5900.3
2017-07-06,3319.58,6232.24,3833.84,1028.0,6725.72,8266.87,4683.62,1920.07,5970.58
2017-07-07,3239.2,6018.7,3629.41,979.57,6504.89,8340.52,4656.71,1909.08,5938.77
2017-07-08,3103.97,5767.38,3346.05,1037.15,6131.23,7728.63,4274.44,1867.12,5283.91
2017-07-09,2897.65,5334.74,3103.29,1049.24,6047.01,6274.41,4127.48,1780.98,4052.59
2017-07-10,3327.47,6657.9,3618.16,1065.91,6510.97,8620.41,4680.96,1932.98,6387.44
2017-07-11,3500.48,6569.68,3839.32,1095.49,6404.97,8800.8,4757.03,1974.96,6346.2
2017-07-12,3486.07,6523.45,3780.69,1084.61,6462.71,8795.19,4845.53,1987.64,6467.72
2017-07-13,3532.75,6721.42,3827.84,1059.61,6476.01,8790.03,4907.83,2051.84,6552.66
2017-07-14,3446.44,6809.97,3862.39,1126.13,6621.54,8643.27,4858.02,1991.79,6195.9
2017-07-15,3178.41,6050.1,3533.2,1104.5,6286.37,7093.29,4258.46,1866.56,4814.39
2017-07-16,2987.7,5446.99,3375.66,1093.21,5979.83,6211.0,4180.39,1779.1,3927.83
2017-07-17,3330.9,6542.71,3842.32,1134.17,6630.37,8433.36,4915.86,2007.4,5890.91
2017-07-18,3377.62,6095.59,3614.51,1132.75,6537.1,8230.26,4984.87,2002.05,5582.2
2017-07-19,3313.96,6134.7,3863.92,1126.03,6482.81,8475.13,4912.69,1956.53,6070.67
2017-07-20,3383.56,6383.83,3777.97,1118.66,6652.99,8450.45,4902.34,1977.29,6066.84
2017-07-21,3331.32,6291.32,3832.98,1129.1,6502.92,8467.34,4847.73,1995.13,6146.68
2017-07-22,3217.28,6056.0,3411.27,1133.87,6312.34,7949.32,4557.56,1931.69,5503.91
2017-07-23,3023.38,5500.53,3332.1,1125.02,6052.72,6485.22,4235.78,1818.38,4105.48
2017-07-24,3381.15,6701.85,3791.37,1134.04,6530.41,8826.41,4769.43,1975.39,6447.01
2017-07-25,3461.97,6890.66,3881.81,1117.98,6457.52,8982.39,4911.57,2036.21,6535.07
