datetime,data,type,unit,network,region
2001-12-02 07:45:00,5527.0,coal_brown,MW,nem,VIC1
2001-12-02 07:50:00,5571.0,coal_brown,MW,nem,VIC1
2001-12-02 07:55:00,5607.0,coal_brown,MW,nem,VIC1
2001-12-02 08:00:00,5595.0,coal_brown,MW,nem,VIC1
2001-12-02 08:05:00,5636.0,coal_brown,MW,nem,VIC1
2001-12-02 08:10:00,5613.0,coal_brown,MW,nem,VIC1
2001-12-02 08:15:00,5647.0,coal_brown,MW,nem,VIC1
2001-12-02 08:20:00,5624.0,coal_brown,MW,nem,VIC1
2001-12-02 08:25:00,5606.0,coal_brown,MW,nem,VIC1
2001-12-02 08:30:00,5716.0,coal_brown,MW,nem,VIC1
2001-12-02 08:35:00,5716.0,coal_brown,MW,nem,VIC1
2001-12-02 08:40:00,5699.0,coal_brown,MW,nem,VIC1
2001-12-02 08:45:00,5772.0,coal_brown,MW,nem,VIC1
2001-12-02 08:50:00,5762.0,coal_brown,MW,nem,VIC1
2001-12-02 08:55:00,5799.0,coal_brown,MW,nem,VIC1
2001-12-02 09:00:00,5749.0,coal_brown,MW,nem,VIC1
