country/region,energy_source,iea,year,month,pm,date,region
Belgium,coal,152.9829,2018,1,0.0,2018-01-01,Europe
Belgium,gas,1578.2394,2018,1,1513.657,2018-01-01,Europe
Belgium,hydro,166.0449,2018,1,184.522,2018-01-01,Europe
Belgium,nuclear,3687.057,2018,1,3674.94,2018-01-01,Europe
Belgium,oil,23.0304,2018,1,0.0,2018-01-01,Europe
Belgium,other,490.0681,2018,1,942.736,2018-01-01,Europe
Belgium,solar,60.4739,2018,1,54.44,2018-01-01,Europe
Belgium,wind,935.6616,2018,1,739.8155,2018-01-01,Europe
Belgium,coal,168.0066,2018,2,0.0,2018-02-01,Europe
Belgium,gas,2020.2519,2018,2,1826.574,2018-02-01,Europe
Belgium,hydro,132.9897,2018,2,162.960778,2018-02-01,Europe
Belgium,nuclear,3348.8014,2018,2,3338.124,2018-02-01,Europe
Belgium,oil,14.404,2018,2,0.0,2018-02-01,Europe
Belgium,other,432.0954,2018,2,891.383,2018-02-01,Europe
Belgium,solar,216.1473,2018,2,194.59,2018-02-01,Europe
Belgium,wind,718.8157,2018,2,590.663808,2018-02-01,Europe
Belgium,coal,203.2195,2018,3,0.0,2018-03-01,Europe
Belgium,gas,1813.7573,2018,3,1739.356,2018-03-01,Europe
Belgium,hydro,160.6963,2018,3,203.946222,2018-03-01,Europe
Belgium,nuclear,3648.0669,2018,3,3643.914,2018-03-01,Europe
Belgium,oil,10.3932,2018,3,0.0,2018-03-01,Europe
Belgium,other,430.6551,2018,3,898.466,2018-03-01,Europe
Belgium,solar,253.0473,2018,3,227.807,2018-03-01,Europe
Belgium,wind,712.0641,2018,3,584.893192,2018-03-01,Europe
Belgium,coal,166.486,2018,4,0.0,2018-04-01,Europe
Belgium,gas,1195.1699,2018,4,1125.781,2018-04-01,Europe
Belgium,hydro,142.4065,2018,4,195.9985,2018-04-01,Europe
Belgium,nuclear,2719.131,2018,4,2719.398,2018-04-01,Europe
Belgium,oil,17.3973,2018,4,0.0,2018-04-01,Europe
Belgium,other,412.415,2018,4,849.109,2018-04-01,Europe
Belgium,solar,404.4418,2018,4,364.092,2018-04-01,Europe
Belgium,wind,495.1727,2018,4,422.152,2018-04-01,Europe
Belgium,coal,179.5722,2018,5,0.0,2018-05-01,Europe
