country/region,year,energy_source,pm,iea,region
Greece,2019,nuclear,0.0,0.0,Europe
Greece,2019,oil,0.0,5056.0318,Europe
Greece,2019,other,0.0,365.147,Europe
Greece,2019,solar,3596.197,4428.51,Europe
Greece,2019,wind,5805.43,7233.3468,Europe
Greece,2020,coal,5850.6475,6045.0055,Europe
Greece,2020,gas,18911.7525,14562.28,Europe
Greece,2020,hydro,0.0,3434.2339,Europe
Greece,2020,nuclear,0.0,0.0,Europe
Greece,2020,oil,0.0,4216.8879,Europe
Greece,2020,other,0.0,338.7222,Europe
Greece,2020,solar,3973.899,4911.5446,Europe
Greece,2020,wind,7313.5015,9263.2016,Europe
Greece,2021,coal,5450.061,5586.76,Europe
Greece,2021,gas,21996.929,21104.5307,Europe
Greece,2021,hydro,0.0,5957.9692000000005,Europe
Greece,2021,nuclear,0.0,0.0,Europe
Greece,2021,oil,0.0,4110.8001,Europe
Greece,2021,other,0.0,160.8067,Europe
Greece,2021,solar,4387.296,5167.9743,Europe
Greece,2021,wind,8529.921,10470.9259,Europe
Hungary,2018,coal,4775.329,4423.5195,Europe
Hungary,2018,gas,6241.634,6638.9395,Europe
Hungary,2018,hydro,179.83275,216.0,Europe
Hungary,2018,nuclear,15465.317123,14855.0,Europe
Hungary,2018,oil,0.0,82.3577,Europe
Hungary,2018,other,1811.528751,2107.9494,Europe
Hungary,2018,solar,0.0,623.9999,Europe
Hungary,2018,wind,567.4683679999999,588.9999,Europe
Hungary,2019,coal,4038.4075,3855.3325999999997,Europe
Hungary,2019,gas,7547.13275,8016.5856,Europe
Hungary,2019,hydro,199.27587499999998,212.9999,Europe
Hungary,2019,nuclear,15789.204251,15402.0,Europe
Hungary,2019,oil,0.0,65.4226,Europe
Hungary,2019,other,1920.992499,2061.0614,Europe
Hungary,2019,solar,187.767,1485.0001,Europe
Hungary,2019,wind,688.435252,708.9999,Europe
Hungary,2020,coal,3694.189375,3558.9425,Europe
Hungary,2020,gas,8022.372625,8456.4414,Europe
Hungary,2020,hydro,227.115,238.0,Europe
Hungary,2020,nuclear,15639.167245999999,15172.0,Europe
Hungary,2020,oil,0.0,41.859,Europe
Hungary,2020,other,1785.545002,2012.5792000000001,Europe
Hungary,2020,solar,1594.0025,2441.0000999999997,Europe
Hungary,2020,wind,632.281997,635.9999,Europe
Hungary,2021,coal,3026.907,2890.5762,Europe
Hungary,2021,gas,8597.655129,8883.2008,Europe
Hungary,2021,hydro,178.1605,202.379,Europe
Hungary,2021,nuclear,15651.826249,15110.0076,Europe
Hungary,2021,oil,0.0,62.399300000000004,Europe
Hungary,2021,other,1936.147,2105.3589,Europe
Hungary,2021,solar,2399.06025,3895.6852,Europe
Hungary,2021,wind,637.033999,645.0592,Europe
India,2018,coal,980152.0,1136418.818,Asian
India,2018,gas,40399.0030954545,64489.8407,Asian
India,2018,hydro,137148.0,145593.4935,Asian
India,2018,nuclear,34240.0,36707.6678,Asian
India,2018,oil,5402.9969045455,6689.697700000001,Asian
India,2018,other,24635.682120730315,29059.2495,Asian
India,2018,solar,24159.809842531307,36519.4847,Asian
India,2018,wind,61107.50803673837,63355.095,Asian
India,2019,coal,954947.0,1113978.2489,Asian
India,2019,gas,39540.476223914,60681.787299999996,Asian
India,2019,hydro,160287.5,166975.0549,Asian
India,2019,nuclear,37328.0,42449.4011,Asian
India,2019,oil,4099.523776085999,5591.3933,Asian
India,2019,other,27751.054573280737,29926.3924,Asian
India,2019,solar,35462.57705032421,46004.2514,Asian
India,2019,wind,61626.368376395054,67612.72810000001,Asian
India,2020,coal,905454.0,1066358.3971,Asian
India,2020,gas,45073.23494765092,64305.5417,Asian
India,2020,hydro,164441.0,168049.4931,Asian
India,2020,nuclear,39597.0,42063.2123,Asian
India,2020,oil,4146.765052349085,5797.8648,Asian
India,2020,other,28124.723749631034,29928.4078,Asian
India,2020,solar,43444.588843673104,58287.601800000004,Asian
India,2020,wind,59351.68740669587,67956.85339999999,Asian
