GWh,DENMARK,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2019-12-01,1438.925,407.5049999999999,26.677,216.399,718.798,69.546,0,2.3,1832.932,11.524,0,0,0,2565.5539999999996,720.127,3285.6809999999996,1386.729,1357.554,3314.8559999999998,0,164.067,3150.7889999999998,2019,12
,2020-01-01,1499.131567,465.8146219999999,27.518022,153.381037,780.941136,71.47675,0,2.107901,2173.199346,13.316407,0,0,0,2969.56479,718.1904309999999,3687.755221,1228.909103,1513.208986,3403.4553379999993,0,165.389222,3238.0661159999995,2020,1
,2020-02-01,1290.456718,446.7953449999999,18.571075,121.283826,647.118285,56.688187,0,2.669786,2083.023217,30.071144,0,0,0,2762.882432,643.3384329999999,3406.220865,1334.625836,1484.881927,3255.9647739999996,0,160.114753,3095.8500209999997,2020,2
,2020-03-01,1208.397439,384.227567,15.289903,121.261415,621.660193,65.958361,0,2.611712,1565.50952,104.119724,0,0,0,2293.9011490000003,586.7372459999999,2880.638395,1504.965658,1220.121794,3165.4822590000003,0,144.277531,3021.204728,2020,3
,2020-04-01,805.839897,207.09840699999984,16.11489,71.877035,449.218834,61.530731,0,1.326091,1215.658527,155.007814,0,0,0,1821.2112660000003,356.6210629999999,2177.8323290000003,1544.133977,960.080427,2761.8858790000004,0,131.542987,2630.3428920000006,2020,4
,2020-05-01,678.960467,230.78898099999998,13.400435,67.62633,300.504571,66.64015,0,1.094255,1253.068751,186.30372,0,0,0,1740.971297,378.455896,2119.427193,1492.798709,892.845816,2719.380086,0,135.031337,2584.348749,2020,5
,2020-06-01,574.257217,132.555207,21.789522,63.199218,304.799041,51.914229,0,0.87381,776.653709,181.363682,0,0,0,1263.690242,269.458176,1533.1484179999998,1484.546289,359.758624,2657.9360829999996,0,110.698151,2547.2379319999995,2020,6
,2020-07-01,466.630578,135.892652,15.396109,54.143691,200.934778,60.263348,0,0.853633,1310.913496,152.612281,0,0,0,1665.3141879999998,265.69579999999996,1931.0099879999998,1790.704065,1305.978615,2415.7354379999997,0,128.306646,2287.4287919999997,2020,7
,2020-08-01,511.865029,132.39428499999997,18.105694,48.392897,250.761421,62.210732,0,0.790717,693.97013,159.54793,0,0,0,1105.0701980000001,261.10360799999995,1366.173806,2045.019936,685.491647,2725.702095,0,116.113575,2609.5885200000002,2020,8
,2020-09-01,628.945491,132.35862499999996,18.418406,71.024521,350.626234,56.517705,0,1.031954,1081.807399,110.216537,0,0,0,1543.6821240000002,278.31925699999994,1822.001381,1817.611946,1154.807625,2484.805702,0,113.936204,2370.869498,2020,9
,2020-10-01,781.334006,213.52538600000003,28.326118,91.596867,391.634522,56.251113,0,1.067873,1433.756447,57.073886,0,0,0,1883.532728,389.69948400000004,2273.232212,1521.561958,1028.631399,2766.1627710000002,0,119.521436,2646.6413350000003,2020,10
,2020-11-01,1034.682781,272.00452499999994,28.979453,117.817298,559.597796,56.283709,0,1.234423,1449.31717,24.092308,0,0,0,2034.2416970000002,475.0849849999999,2509.326682,1445.720986,954.013992,3001.033676,0,123.219316,2877.81436,2020,11
,2020-12-01,966.60208,102.49536599999988,23.183382,122.903871,662.61647,55.402991,0,0.513845,1316.472287,7.358567,0,0,0,1986.961169,303.98560999999984,2290.946779,1680.738538,1134.336148,2837.349169,0,125.079841,2712.269328,2020,12
,2021-01-01,2146.852821,711.2116529999998,27.464736,292.881421,1031.512316,83.782695,0,1.890202,1188.381632,15.911901,0,0,0,2237.6960510000004,1115.340505,3353.036556,1687.834229,1351.537518,3689.333267,0,162.916623,3526.416644,2021,1
,2021-02-01,1822.406813,590.0801180000001,22.748521,256.027733,888.229987,65.320454,0,1.485261,1550.194183,41.983824,0,0,0,2481.893255,934.1768260000001,3416.070081,1269.935731,1260.910992,3425.0948199999993,0,156.066145,3269.0286749999996,2021,2
,2021-03-01,1559.377715,423.3863000000001,20.828857,175.094477,869.47318,70.594901,0,1.675582,1526.743708,103.089925,0,0,0,2500.982395,689.9045350000001,3190.88693,1775.909376,1564.461788,3402.334518,0,148.844606,3253.489912,2021,3
,2021-04-01,1318.865027,330.4067900000001,16.578401,113.335496,788.695079,69.849261,0,1.261853,1414.677809,171.749554,0,0,0,2376.384295,530.1699480000001,2906.554243,1615.555945,1470.518937,3051.5912510000007,0,142.006735,2909.584516000001,2021,4
,2021-05-01,1011.857649,204.49849100000006,17.453933,100.535338,621.401204,67.968683,0,1.459201,1053.83698,157.054416,0,0,0,1833.751801,390.4564450000001,2224.208246,1985.950051,1250.927806,2959.2304910000003,0,445.303013,2513.927478,2021,5
