Coal,Lignite,Hydro,Nuclear,"Gas, Naptha & Diesel","RES (Wind, Solar, Biomass & Others)",Total,date
2581,90,241,75,122,266,3376,2019/1/1
2587,92,254,80,125,273,3411,2018/12/31
2523,90,233,74,122,284,3326,2018/12/30
2631,95,251,73,121,269,3440,2018/12/29
2715,95,256,81,118,247,3512,2018/12/28
2715,93,262,78,120,232,3500,2018/12/27
2676,89,272,80,118,244,3480,2018/12/26
2618,84,267,81,115,259,3424,2018/12/25
2588,85,260,80,115,274,3403,2018/12/24
2546,91,226,80,119,255,3317,2018/12/23
2641,97,269,79,115,234,3436,2018/12/22
2624,99,288,80,123,229,3443,2018/12/21
2567,94,291,80,120,248,3400,2018/12/20
2527,96,285,80,121,247,3356,2018/12/19
2502,96,256,80,110,262,3306,2018/12/18
2469,94,250,83,119,283,3298,2018/12/17
2418,86,232,85,116,321,3258,2018/12/16
2476,84,254,84,119,367,3384,2018/12/15
2552,84,241,84,116,322,3400,2018/12/14
2604,90,255,85,118,264,3415,2018/12/13
2622,35,315,85,116,240,3413,2018/12/12
2662,35,270,85,119,222,3393,2018/12/11
2635,86,257,85,121,213,3396,2018/12/10
2557,83,239,85,117,244,3324,2018/12/9
2644,86,258,85,117,247,3436,2018/12/8
2651,82,253,84,123,240,3434,2018/12/7
2679,85,266,83,116,216,3445,2018/12/6
2667,81,270,80,116,209,3423,2018/12/5
2637,86,252,80,114,254,3372,2018/12/4
2576,87,250,80,116,266,3375,2018/12/3
2511,86,219,80,113,249,3259,2018/12/2
2600,94,250,79,114,251,3388,2018/12/1
2615,93,260,80,120,257,3426,2018/11/30
2631,97,266,80,120,249,3442,2018/11/29
